,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
176,9500000,1000,Kharghar,2,0,1,1,1,1,1,0,1,0,0,0,0,1,1
177,15000000,1760,Kharghar,3,0,1,1,1,0,1,1,1,0,0,0,0,1,1
178,7500000,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,1
179,13000000,1550,Sector 20 Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,0,1
180,16200000,1675,Kharghar,3,1,1,1,1,1,1,1,1,0,1,1,0,1,1
181,11000000,1060,Kharghar,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
182,11600000,1150,Kharghar,2,0,1,1,1,0,1,1,1,0,1,1,0,1,1
183,5600000,670,Kharghar,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1
184,8000000,900,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
185,9500000,1088,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,1,0
186,2018000,375,Dombivali,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
187,65000000,1200,Churchgate,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,45000000,1717,Prabhadevi,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0
189,16500000,750,Jogeshwari West,,0,0,1,1,0,0,0,0,0,0,0,0,0,0
190,2375000,525,Kalyan East,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1
191,19500000,1200,Malad East,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2000000,420,Virar East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2500000,540,Virar East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2250000,415,Virar East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2700000,650,Virar,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
196,22000000,1100,Malad West,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
197,17000000,1105,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
198,43500000,2600,Malad East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
199,4760000,700,Mira Road East,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
200,18100000,1296,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
201,23800000,1638,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
202,21200000,1465,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
203,8600000,700,Borivali East,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
